mammal,5
anthro,0
hi_res,7
female,0
male,0
solo,0
genitals,0
clothing,0
breasts,0
hair,0
fur,0
duo,0
penis,0
bodily_fluids,0
canid,5
nude,0
canine,5
simple_background,0
nipples,0
digital_media_(artwork),7
video_games,0
clothed,0
text,0
genital_fluids,0
sex,0
balls,0
smile,0
blush,0
erection,0
butt,0
open_mouth,0
pussy,0
looking_at_viewer,0
absurd_res,7
tongue,0
penetration,0
big_breasts,0
english_text,7
cum,0
felid,5
nintendo,3
canis,5
horn,0
male/female,0
feral,0
white_body,0
penile,0
male_penetrating,0
tongue_out,0
anus,0
feet,0
blue_eyes,0
claws,0
pokemon,3
pokemon_(species),5
teeth,0
white_fur,0
equid,5
male/male,0
animal_genitalia,0
biped,0
equine,5
humanoid_genitalia,0
group,0
scalie,5
topwear,0
fingers,0
humanoid,5
standing,0
humanoid_penis,0
dialogue,0
monochrome,7
wings,0
navel,0
anal,0
vaginal,0
muscular,0
hasbro,3
feline,5
cum_inside,0
my_little_pony,3
lying,0
toes,0
human,5
fox,5
tuft,0
white_background,0
brown_body,0
thick_thighs,0
1:1,7
piercing,0
eyes_closed,0
spreading,0
underwear,0
dragon,5
areola,0
bottomwear,0
anal_penetration,0
domestic_dog,5
animal_penis,0
green_eyes,0
female_penetrated,0
interspecies,0
<3,0
blue_body,0
vaginal_penetration,0
comic,7
friendship_is_magic,3
black_body,0
wolf,5
size_difference,0
big_penis,0
sitting,0
brown_fur,0
furniture,0
outside,0
spread_legs,0
oral,0
long_hair,0
ambiguous_gender,0
plant,0
male_penetrating_female,0
huge_breasts,0
shirt,0
legwear,0
looking_back,0
eyewear,0
big_butt,0
markings,0
muscular_male,0
sweat,0
multicolored_body,0
penile_penetration,0
felis,5
wide_hips,0
lagomorph,5
grey_body,0
young,0
5_fingers,0
domestic_cat,5
narrowed_eyes,0
black_nose,0
paws,0
red_eyes,0
footwear,0
reptile,5
collar,0
male_penetrated,0
2021,7
2020,7
leporid,5
feathers,0
on_back,0
presenting,0
headgear,0
intersex,0
solo_focus,0
black_fur,0
rabbit,5
horse,5
belly,0
ear_piercing,0
2019,7
signature,7
eyelashes,0
fangs,0
pawpads,0
saliva,0
blonde_hair,0
anthro_on_anthro,0
brown_hair,0
pantherine,5
male_penetrating_male,0
yellow_body,0
detailed_background,0
overweight,0
black_hair,0
muscular_anthro,0
multicolored_fur,0
orgasm,0
jewelry,0
knot,0
ejaculation,0
abs,0
glasses,0
grey_fur,0
2018,7
headwear,0
pussy_juice,0
yellow_eyes,0
vein,0
eyebrows,0
hat,0
2017,7
avian,5
half-closed_eyes,0
bed,0
not_furry,0
handwear,0
gynomorph,0
bovid,5
barefoot,0
big_balls,0
pecs,0
gloves,0
2022,7
penis_in_pussy,0
blue_fur,0
anthrofied,0
orange_body,0
2016,7
inside,0
looking_pleasured,0
